finetuning,pooling,patch_size,accuracy,macro_recall,macro_f1
03_MaskFT,Mean,8,0.6111111111111112,0.36734862073574553,0.37717074648340637
03_MaskFT,Attention-shared,8,0.5940794809407948,0.3589842249339871,0.3648539922257248
03_MaskFT,Attention-indep,8,0.6123276561232766,0.3593614934584141,0.37165832711160013
03_MaskFT,MHA-shared,8,0.6082725060827251,0.3761288140802222,0.3880778983410283
03_MaskFT,MHA-indep,8,0.6058394160583942,0.35750212912489704,0.3642658088461727
03_MaskFT,Hierarchical-shared,8,0.5762368207623683,0.33317195809255634,0.3282191750291456
03_MaskFT,Hierarchical-indep,8,0.5993511759935117,0.36905968601728567,0.351915732146415
03_MaskFT,Mean,16,0.624493106244931,,
03_MaskFT,Attention-shared,16,0.6119221411192214,,
03_MaskFT,Attention-indep,16,0.5993511759935117,,
03_MaskFT,MHA-shared,16,0.6257096512570965,,
03_MaskFT,MHA-indep,16,0.6232765612327656,,
03_MaskFT,Hierarchical-shared,16,0.5762368207623683,,
03_MaskFT,Hierarchical-indep,16,0.5888077858880778,,
03_MaskFT,Mean,32,0.6058394160583942,,
03_MaskFT,Attention-shared,32,0.5932684509326845,,
03_MaskFT,Attention-indep,32,0.589213300892133,,
03_MaskFT,MHA-shared,32,0.5957015409570154,,
03_MaskFT,MHA-indep,32,0.6013787510137875,,
03_MaskFT,Hierarchical-shared,32,0.5713706407137064,,
03_MaskFT,Hierarchical-indep,32,0.5709651257096513,,
03_MaskFT,Mean,64,0.6248986212489862,,
03_MaskFT,Attention-shared,64,0.6338199513381995,,
03_MaskFT,Attention-indep,64,0.6313868613138686,,
03_MaskFT,MHA-shared,64,0.615977291159773,,
03_MaskFT,MHA-indep,64,0.6265206812652068,,
03_MaskFT,Hierarchical-shared,64,0.5790754257907542,,
03_MaskFT,Hierarchical-indep,64,0.5819140308191403,,
