Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Mask Only,0.6171938361719383,0.49818725923338175,0.3510516804155208,0.3602818922021661,0.5867299822335772,0.6171938361719383,0.5681887343865769
Mean Pooling,0.6455798864557989,0.4803807051473232,0.37756831964996446,0.3842066237972372,0.5967721231563881,0.6455798864557989,0.6005601502473067
Attention (shared_context),0.6342254663422546,0.41103402701620606,0.36677617501677856,0.3657052845527099,0.5672891282741441,0.6342254663422546,0.5802047164205227
Attention (independent_context),0.6435523114355232,0.4877657718645238,0.3711535992861861,0.3767156113189732,0.5937688401999426,0.6435523114355232,0.5885878642683748
MHA-4 (shared_context),0.6476074614760746,0.4557762185233088,0.3743219638231226,0.37265273005859506,0.5947480077271747,0.6476074614760746,0.5943702506160595
MHA-8 (shared_context),0.6261151662611517,0.40897464677586043,0.3550022019255161,0.3463387806515706,0.561110140218746,0.6261151662611517,0.5570933556342389
MHA-16 (shared_context),0.6232765612327656,0.433732357227294,0.3881055338576184,0.39895276439592914,0.5836558496682573,0.6232765612327656,0.5965332884518425
MHA-32 (shared_context),0.6394971613949716,0.4045085497218849,0.37160670619512626,0.3713544246700163,0.5690959490569696,0.6394971613949716,0.5827975339212926
MHA-64 (shared_context),0.6346309813463098,0.47161648268274403,0.3875559211187275,0.38395358781626693,0.5837931004261195,0.6346309813463098,0.5907246330244522
MHA-128 (shared_context),0.6330089213300892,0.3969634656122304,0.3713222916606088,0.3662555399692206,0.5615319759722619,0.6330089213300892,0.5772541238166963
MHA-384 (shared_context),0.6309813463098135,0.40854542963030477,0.34439414232507104,0.3460355604127347,0.5613921821420865,0.6309813463098135,0.5676470059635775
MHA-4 (independent_context),0.6435523114355232,0.4158766805389322,0.37563199938089753,0.3745646632728762,0.5768402022774025,0.6435523114355232,0.5790884578312804
MHA-8 (independent_context),0.6386861313868614,0.42661523722825556,0.37717395607985066,0.3738604065233468,0.5749569850113018,0.6386861313868614,0.589590207461208
MHA-16 (independent_context),0.6394971613949716,0.396694189349045,0.37063317336131896,0.36744977727653944,0.5630107611459462,0.6394971613949716,0.5838117094972844
MHA-32 (independent_context),0.6394971613949716,0.40344651087159583,0.36009636970425046,0.36601988226474863,0.5749156107493041,0.6394971613949716,0.5900375879020043
MHA-64 (independent_context),0.635036496350365,0.38593862113827754,0.36574001284261765,0.36188269575229537,0.5569463353375645,0.635036496350365,0.579527810388813
MHA-128 (independent_context),0.6334144363341444,0.3982500383335736,0.3700483892770826,0.3731291630163483,0.5660576690884381,0.6334144363341444,0.5844581095187064
MHA-384 (independent_context),0.6354420113544201,0.41548821602149355,0.3690031483923769,0.36867773383200103,0.5659916061190073,0.6354420113544201,0.5721448143073558
Hierarchical (shared_context),0.5948905109489051,0.31428901099729945,0.32713199106091706,0.3143303806511465,0.49413451666119573,0.5948905109489051,0.5354141213431032
Hierarchical (independent_context),0.5961070559610706,0.32279604507016935,0.3173189750286984,0.30544688606034737,0.48647823105197946,0.5961070559610706,0.5246119317213175
