finetuning,pooling,patch_size,accuracy,macro_recall,macro_f1
02_Frozen,Mean,8,0.6115166261151662,0.3631783246126153,0.3761686638238308
02_Frozen,Attention-shared,8,0.5969180859691808,0.35813547997956946,0.3723404120816092
02_Frozen,Attention-indep,8,0.6038118410381184,0.3559070468222662,0.36654331448115995
02_Frozen,MHA-shared,8,0.6188158961881589,0.3762811501960051,0.38840300013905316
02_Frozen,MHA-indep,8,0.6119221411192214,0.38097132896213237,0.3961385685955739
02_Frozen,Hierarchical-shared,8,0.5750202757502028,0.3258419606181255,0.3158563234607599
02_Frozen,Hierarchical-indep,8,0.6115166261151662,0.35790809772174514,0.3589634530574987
02_Frozen,Mean,16,0.6180048661800487,,
02_Frozen,Attention-shared,16,0.6082725060827251,,
02_Frozen,Attention-indep,16,0.6094890510948905,,
02_Frozen,MHA-shared,16,0.6277372262773723,,
02_Frozen,MHA-indep,16,0.621654501216545,,
02_Frozen,Hierarchical-shared,16,0.5859691808596919,,
02_Frozen,Hierarchical-indep,16,0.5989456609894566,,
02_Frozen,Mean,32,0.6070559610705596,,
02_Frozen,Attention-shared,32,0.5904298459042985,,
02_Frozen,Attention-indep,32,0.605433901054339,,
02_Frozen,MHA-shared,32,0.5997566909975669,,
02_Frozen,MHA-indep,32,0.6017842660178426,,
02_Frozen,Hierarchical-shared,32,0.5819140308191403,,
02_Frozen,Hierarchical-indep,32,0.5758313057583131,,
02_Frozen,Mean,64,0.6334144363341444,,
02_Frozen,Attention-shared,64,0.629764801297648,,
02_Frozen,Attention-indep,64,0.6253041362530414,,
02_Frozen,MHA-shared,64,0.6330089213300892,,
02_Frozen,MHA-indep,64,0.6289537712895377,,
02_Frozen,Hierarchical-shared,64,0.5843471208434712,,
02_Frozen,Hierarchical-indep,64,0.5851581508515815,,
