Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
0.6115166261151662,0.4540885272822163,0.3631783246126153,0.3761686638238308,0.5637475545736235,0.6115166261151662,0.5653541919098791
0.5969180859691808,0.4807488284850435,0.35813547997956946,0.3723404120816092,0.552258511070702,0.5969180859691808,0.5485098347629158
0.6038118410381184,0.4523857815747518,0.3559070468222662,0.36654331448115995,0.5606309121884192,0.6038118410381184,0.5566514471774016
0.6139497161394971,0.41519206302488765,0.3626697509019357,0.36895629398584634,0.5540632712901931,0.6139497161394971,0.5657794015852524
0.6204379562043796,0.49044068317682926,0.39990388988114894,0.42044561230875005,0.5740981222103526,0.6204379562043796,0.5833950823087112
0.6078669910786699,0.4286817809657912,0.3768378620554439,0.3854460725382013,0.5544882167988652,0.6078669910786699,0.5666186952954958
0.6135442011354421,0.4370442776801238,0.3789550644325121,0.38976134477467944,0.5651842468969807,0.6135442011354421,0.5752105474405453
0.6175993511759935,0.4369230291178554,0.37607139218054586,0.3871820026069755,0.5660212156472814,0.6175993511759935,0.5743320029326542
0.6167883211678832,0.43089931991369174,0.37589066293391993,0.3856441354928811,0.5636880958861269,0.6167883211678832,0.5743666758568374
0.6115166261151662,0.4329375648138768,0.36872251229150066,0.37843572039501494,0.5595140275103486,0.6115166261151662,0.5704962813865169
0.6123276561232766,0.5009274246094907,0.3797010962784976,0.3955000460576944,0.5622153250681301,0.6123276561232766,0.5700491205571968
0.6188158961881589,0.5085708015319031,0.3762811501960051,0.38840300013905316,0.5761077072867571,0.6188158961881589,0.5754508534549558
0.6119221411192214,0.47316333997680615,0.38097132896213237,0.3961385685955739,0.5613608623199653,0.6119221411192214,0.5694733149087535
0.6192214111922141,0.4674056939543613,0.3735202455044688,0.3837210633766129,0.5703485492871657,0.6192214111922141,0.5755943945436728
0.6139497161394971,0.5212529642180616,0.37414789608219357,0.3874522794123795,0.5765372817037299,0.6139497161394971,0.573681590717843
0.6184103811841039,0.4378391529846611,0.3756400029767498,0.384909786695273,0.5654421541201087,0.6184103811841039,0.5741109271232628
0.6123276561232766,0.4590182125166075,0.3772764453383667,0.38930664515497215,0.5640572108971695,0.6123276561232766,0.5722070036222752
0.5750202757502028,0.39032325591481704,0.3258419606181255,0.3158563234607599,0.5244640530510148,0.5750202757502028,0.5084717061923385
0.6115166261151662,0.4097221578961114,0.35790809772174514,0.3589634530574987,0.5574599870569827,0.6115166261151662,0.5595608458465435
